store_id,store_name,address,city,state,zip_code,phone_number,email,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,has_parking,is_wheelchair_accessible,store_manager,latitude,longitude
OWL001,Owl Shoes Downtown,123 Main Street,San Francisco,CA,94105,(415) 555-1234,downtown@owlshoes.com,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 9:00 PM,10:00 AM - 9:00 PM,11:00 AM - 6:00 PM,Yes,Yes,Sarah Johnson,37.7937007,-122.4039064
OWL002,Owl Shoes Mission District,456 Valencia Street,San Francisco,CA,94110,(415) 555-2345,mission@owlshoes.com,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 6:00 PM,No,Yes,Michael Chen,37.7648361,-122.4215096
OWL003,Owl Shoes Berkeley,789 Shattuck Avenue,Berkeley,CA,94709,(510) 555-3456,berkeley@owlshoes.com,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 6:00 PM,Yes,Yes,David Wilson,37.8629165,-122.2694829
OWL004,Owl Shoes Palo Alto,321 University Avenue,Palo Alto,CA,94301,(650) 555-4567,paloalto@owlshoes.com,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,12:00 PM - 5:00 PM,Yes,Yes,Emily Rodriguez,37.4443293,-122.1598465
OWL005,Owl Shoes Santa Monica,555 Santa Monica Blvd,Santa Monica,CA,90401,(310) 555-5678,santamonica@owlshoes.com,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,11:00 AM - 8:00 PM,Yes,Yes,Jessica Lee,34.0194543,-118.4911912
OWL006,Owl Shoes Venice Beach,123 Abbot Kinney Blvd,Venice,CA,90291,(310) 555-6789,venice@owlshoes.com,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,11:00 AM - 7:00 PM,No,Yes,Robert Martinez,33.9953683,-118.4670176
OWL007,Owl Shoes Portland Downtown,789 SW Broadway,Portland,OR,97205,(503) 555-7890,portlanddt@owlshoes.com,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 9:00 PM,10:00 AM - 9:00 PM,11:00 AM - 6:00 PM,No,Yes,Amanda Taylor,45.5189895,-122.6795056
OWL008,Owl Shoes Pearl District,456 NW 23rd Avenue,Portland,OR,97210,(503) 555-8901,pearldistrict@owlshoes.com,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 6:00 PM,Yes,Yes,Daniel Park,45.5284693,-122.6990347
OWL009,Owl Shoes Seattle,123 Pike Street,Seattle,WA,98101,(206) 555-9012,seattle@owlshoes.com,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 9:00 PM,10:00 AM - 9:00 PM,11:00 AM - 7:00 PM,Yes,Yes,Jennifer Wong,47.6100898,-122.3420567
OWL010,Owl Shoes Ballard,789 Ballard Avenue NW,Seattle,WA,98107,(206) 555-0123,ballard@owlshoes.com,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 6:00 PM,No,Yes,Christopher Brown,47.6684219,-122.3860321
OWL011,Owl Shoes Chicago Loop,456 N Michigan Avenue,Chicago,IL,60611,(312) 555-1234,chicagoloop@owlshoes.com,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 9:00 PM,10:00 AM - 9:00 PM,11:00 AM - 6:00 PM,No,Yes,Stephanie Garcia,41.8901106,-87.6242995
OWL012,Owl Shoes Wicker Park,789 N Milwaukee Avenue,Chicago,IL,60622,(312) 555-2345,wickerpark@owlshoes.com,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 6:00 PM,Yes,Yes,Brandon Kim,41.8969069,-87.6716799
OWL013,Owl Shoes SoHo,123 Broadway,New York,NY,10013,(212) 555-3456,soho@owlshoes.com,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,11:00 AM - 8:00 PM,No,Yes,Nicole Thompson,40.7237442,-74.0006082
OWL014,Owl Shoes Brooklyn,456 Bedford Avenue,Brooklyn,NY,11211,(718) 555-4567,brooklyn@owlshoes.com,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,11:00 AM - 7:00 PM,No,Yes,Kevin Patel,40.7142205,-73.9651825
